,words,mean,qw_25%,qw_50%,qw_75%,max,median,date,place
288,посмотреть сверху,0.17677669529663687,0.08838834764831843,0.17677669529663687,0.2651650429449553,0.35355339059327373,0.17677669529663687,8-02-23,chicago_360
295,свой особенность,0.17677669529663687,0.08838834764831843,0.17677669529663687,0.2651650429449553,0.35355339059327373,0.17677669529663687,8-02-23,chicago_360
296,сдвижной окно,0.17677669529663687,0.08838834764831843,0.17677669529663687,0.2651650429449553,0.35355339059327373,0.17677669529663687,8-02-23,chicago_360
316,именитый уллис,0.02549063709672909,0.0,0.0,0.0,0.2294157338705618,0.0,9-02-23,chicago_360
318,красивый очередь,0.033501260508640406,0.0,0.0,0.0,0.30151134457776363,0.0,9-02-23,chicago_360
325,осознавать сколько,0.027777777777777783,0.0,0.0,0.0,0.25000000000000006,0.0,9-02-23,chicago_360
326,очередь больший,0.033501260508640406,0.0,0.0,0.0,0.30151134457776363,0.0,9-02-23,chicago_360
328,площадка именитый,0.02549063709672909,0.0,0.0,0.0,0.2294157338705618,0.0,9-02-23,chicago_360
334,правильно выбрать,0.02549063709672909,0.0,0.0,0.0,0.2294157338705618,0.0,9-02-23,chicago_360
336,продвигаться быстро,0.033501260508640406,0.0,0.0,0.0,0.30151134457776363,0.0,9-02-23,chicago_360
342,слишком расскрутить,0.1111111111111111,0.0,0.0,0.0,1.0,0.0,9-02-23,chicago_360
344,смотровой площадка,0.03752960882391339,0.0,0.0,0.0,0.3377664794152205,0.0,9-02-23,chicago_360
346,сувенирный магазин,0.06415002990995841,0.0,0.0,0.0,0.5773502691896257,0.0,9-02-23,chicago_360
348,точно видеть,0.027777777777777783,0.0,0.0,0.0,0.25000000000000006,0.0,9-02-23,chicago_360
350,хороший площадка,0.02549063709672909,0.0,0.0,0.0,0.2294157338705618,0.0,9-02-23,chicago_360
351,чикагский боб,0.027777777777777783,0.0,0.0,0.0,0.25000000000000006,0.0,9-02-23,chicago_360
